Lead_ID,Lead_Date,Company_Name,Region,City,Equipment_Type,Lead_Source,Sales_Rep,Current_Stage,Quotation_Date,Negotiation_Date,Closing_Date,Deal_Value_IDR,Lost_At_Stage,Lost_Reason,Stage_Order,Reached_Lead,Reached_Quotation,Reached_Negotiation,Reached_Closed_Won
LD-0771,2025-07-29,PT Mitra Konstruksi 772,Bali,Badung,Scissor Lift,Google Ads,Andi Pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0219,2023-06-06,PT Mitra Konstruksi 220,Jawa,Bandung,Crane,WhatsApp,Sari Rahmawati,Closed Lost,2023-06-11,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0004,2022-08-30,PT Mitra Konstruksi 005,bali,Gianyar,scissor lift,REFERRAL,Rina Wulandari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0599,2024-11-23,PT Mitra Konstruksi 600,Jawa,Jakarta,Boom Lift,WhatsApp,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0375,03.01.2024,PT Mitra Konstruksi 376,BALI,Denpassar,scissor lift,Website,Andi Pratama,CLOSED LOST,2024-01-05,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0388,2024-02-23,PT Mitra Konstruksi 389,Bali,Gianyar,Boom Lift,referal,Eko Kurniawan,Closed Lost,2024-02-24,2024-03-02,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0595,2024-11-30,PT Mitra Konstruksi 596,,,TELEHANDLER,,,Closed Lost,05.12.2024,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0637,2025-01-24,PT Mitra Konstruksi 638,jawa,Surabaya,Boom Lift,Google Ads,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0718,2025-04-10,PT Mitra Konstruksi 719,Jawa,Gresik,Crane,Google Ads,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0458,2024-05-15,PT Mitra Konstruksi 459   ,Jawa,  Bandung,Skylift   ,Email,  Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0749,2025-06-16,PT  Mitra Konstruksi 750,Bali,Badung,Skylift   ,Google Ads,  Dewi Lestari,Closed Lost,2025-06-19,2025-06-25,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0369,2024-01-24,PT Mitra Konstruksi 370,Sumatra,Medan,Telehandler,WhatsApp,Vino Jayrasta,Closed Lost,2024-01-30,2024-02-03,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0403,2024-03-16,PT Mitra Konstruksi 404,Jawa,Jakarta,Scissor Lift,Google Ads,Sari Rahmawati,Lead In,,,,,,,1,1,0,0,0
LD-0194,2023-05-30,PT Mitra Konstruksi 195,Jawa,Semarang,Crane,G-Ads,Dewi Lestari,Closed Lost,2023-06-04,2023-06-10,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0716,2025-04-05,PT Mitra Konstruksi 717,Sumatra,Batam,boom lift,Whats App,Dewi Lestari,Closed Lost,2025-04-11,2025-04-18,,,Negotiation,No response / went cold,5,1,1,1,0
LD-0556,2024-09-25,PT Mitra Konstruksi 557,JAWA,Sidoarjo,skylift,google ads,Budi Santoso,Closed Won,2024-09-26,2024-09-29,2024-10-07,11300000.0,,,4,1,1,1,1
LD-0245,17-Jul-2023,PT Mitra Konstruksi 246,Bali,Gianyar,Boom Lift,Email,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0976,2026-05-22,PT Mitra Konstruksi 977,Jawa,Bandung,Skylift,Google Ads,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0243,2023-07-03,PT Mitra Konstruksi 244,Bali,Gianyar,Boom Lift,Email,Andi Pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0189,2023-05-03,PT Mitra Konstruksi 190,Jawa,Surabaya,Skylift,WhatsApp,Rina Wulandari,Closed Lost,2023-05-07,2023-05-12,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0994,2026-06-14,PT Mitra Konstruksi 995,Sumatra,Medan,Boom Lift,Google Ads,Dewi Lestari,Closed Lost,2026-06-16,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0173,2023-04-13,PT Mitra Konstruksi 174,Bali,Badung,Scissor Lift,Google Ads,Fajar Nugroho,Closed Lost,2023-04-15,2023-04-18,,,Negotiation,Price too high,5,1,1,1,0
LD-0321,2023-11-13,PT Mitra Konstruksi 322,Sumatra,Batam,Scissor Lift,WhatsApp,Vino Jayrasta,Closed Won,2023-11-14,2023-11-23,2023-11-28,6700000.0,,,4,1,1,1,1
LD-0355,2024-01-05,PT Mitra Konstruksi 356,Bali,Gianyar,Scissor Lift,Google Ads,Andi Pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-1016,2026-07-16,PT Mitra Konstruksi 1017,Jawa,Semarang,Boom Lift,Google Ads,Vino Jayrasta,Closed Won,2026-07-18,2026-07-24,2026-07-31,24600000.0,,,4,1,1,1,1
LD-0015,2022-08-09,PT Mitra Konstruksi 016,Jawa,Semarang,Scissor Lift,Google Ads,Andi Pratama,Closed Won,2022-08-13,2022-08-17,2022-08-26,11400000.0,,,4,1,1,1,1
LD-0312,2023-11-10,PT  Mitra Konstruksi 313,Jawa,  Semarang,  Skylift,Email, Rina Wulandari ,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0428,2024-04-12,  PT Mitra Konstruksi 429,Jawa,Semarang   ,Boom  Lift,Google Ads,Andi Pratama   ,Closed Lost,2024-04-18,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0845,2025-11-30,PT Mitra Konstruksi 846,Jawa,Sidoarjo,Boom Lift,Website,Vino Jayrasta,Closed Lost,2025-12-01,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0389,2024-02-11, PT Mitra Konstruksi 390 ,Sumatra,  Batam,Skylift   ,WhatsApp, Eko Kurniawan ,Closed Lost,2024-02-16,2024-02-20,,,Negotiation,Price too high,5,1,1,1,0
LD-0443,10-Apr-2024,PT Mitra Konstruksi 444,Jawa,Gresik,Crane,Referral,Andi Pratama,Closed Lost,2024-04-16,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0625,2024-12-11,PT Mitra Konstruksi 626,Bali,Denpasar,Scissor Lift,WhatsApp,Vino Jayrasta,Closed Lost,2024-12-13,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0370,2024-01-15,PT Mitra Konstruksi 371,Jawa,Bandung,Scissor Lift,Google Ads,Vino Jayrasta,Closed Lost,2024-01-17,2024-01-24,,,Negotiation,Price too high,5,1,1,1,0
LD-0865,2025-12-20,PT Mitra Konstruksi 866,Bali,Denpasar,Crane,Google Ads,Rina Wulandari,Closed Lost,2025-12-24,2025-12-31,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0076,2022-11-27,PT Mitra Konstruksi 077,Jawa,Bandung,Scissor Lift,Referral,Vino Jayrasta,Closed Lost,2022-12-03,08-Dec-2022,,,Negotiation,Price too high,5,1,1,1,0
LD-0364,2024-01-11,PT Mitra Konstruksi 365,Jawa,Semarrang,Boom Lift,WhatsApp,Fajar Nugroho,Closed Lost,2024-01-14,2024-01-22,,,Negotiation,Price too high,5,1,1,1,0
LD-0680,2025-02-20,PT Mitra Konstruksi 681,Jawa,Bandung,Scissor Lift,Google Ads,Budi Santoso,Lead In,,,,,,,1,1,0,0,0
LD-0903,2026-01-26,PT Mitra Konstruksi 904,Jawa,Gresikk,Scissor Lift,WhatsApp,Dewi Lestari,Closed Won,2026-01-30,2026-02-01,2026-02-11,18800000.0,,,4,1,1,1,1
LD-0608,2024-12-29,PT Mitra Konstruksi 609,Jawa,Jakarta,Crane,WhatsApp,Fajar Nugroho,Closed Won,2024-12-31,2025-01-03,2025-01-16,41400000.0,,,4,1,1,1,1
LD-0567,2024-10-16,PT Mitra Konstruksi 568,Jawa,Bandung,Scissor Lift,Google Ads,Sari Rahmawati,Lead In,,,,,,,1,1,0,0,0
LD-0011,2022-08-03,PT Mitra Konstruksi 012,Jawa,Bandung,Carmix,email,Dewi Lestari,Closed Lost,2022-08-09,2022-08-11,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0229,2023-06-21,PT Mitra Konstruksi 230,Jawa,Semarang,Crane,Website,Rina Wulandari,Closed Lost,2023-06-26,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0710,2025-04-13,PT Mitra Konstruksi 711,Jawa,Surabaya,Scissor Lift,Google Ads,Dewi Lestari,Closed Won,2025-04-16,2025-04-18,28.04.2025,15000000.0,,,4,1,1,1,1
LD-0040,2022-09-10,PT Mitra Konstruksi 041,Sumatra,Palembang,Boom Lift,WhatsApp,Sari Rahmawati,Closed Lost,2022-09-15,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0803,2025-08-09,PT Mitra Konstruksi 804,Sumatra,Medan,Boom Lift,Referral,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0962,2026-04-23,PT Mitra Konstruksi 963,Sumatra,Medan,Scissor Lift,Referral,Dewi Lestari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0958,2026-04-23,PT Mitra Konstruksi 959,Jawa,Semarang,Boom Lift,Google Ads,Dewi Lestari,Closed Lost,28-Apr-2026,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0578,2024-10-23,PT Mitra Konstruksi 579,Jawa,Jakarta,Crane,WhatsApp,Budi Santoso,Closed Lost,2024-10-27,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0923,2026-02-26,PT Mitra Konstruksi 924,Jawa,Sidoarjo,Carmix,web site,Sari R.,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0602,2024-12-04,PT Mitra Konstruksi 603,Jawa,Jakarta,Carmix,Email,Budi Santoso,Closed Lost,2024-12-05,2024-12-14,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0462,2024-05-02,PT Mitra Konstruksi 463,Sumatra,Palembang,Boomlift,web site,Andi P,Closed Lost,2024-05-07,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0933,30/03/2026,PT Mitra Konstruksi 934,Bali,Gianyar,BOOM LIFT ,Google Adwords,Fajar Nugroho,Lead In,,,,,,,1,1,0,0,0
LD-0983,2026-05-12,PT Mitra Konstruksi 984,JAWA,Jakarta,CRANE,GOOGLE ADS,Sari Rahmawati,lead in,,,,,,,1,1,0,0,0
LD-0080,2022-11-30,PT Mitra Konstruksi 081,Jawa,Jakarta,Scissor Lift,Google Ads,Rina Wulandari,Closed Won,05/12/2022,2022-12-10,2022-12-19,10500000.0,,,4,1,1,1,1
LD-0371,2024-01-08,PT Mitra Konstruksi 372,Sumatra,Medan,Carmix,Google Ads,Budi Santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0635,2025-01-09,PT Mitra Konstruksi 636,Jawa,,Scissor Lift,,,Closed Won,2025-01-11,2025-01-18,2025-01-25,7700000.0,,,4,1,1,1,1
LD-0653,2025-01-30,PT Mitra Konstruksi 654,Jawa,Sidoarjo,Carmix,Google Ads,Rina Wulandari,Closed Won,2025-02-03,2025-02-11,2025-02-18,20300000.0,,,4,1,1,1,1
LD-0012,2022-08-10,PT Mitra Konstruksi 013,Jawa,,Boom Lift,,Andi Pratama,Closed Won,2022-08-16,24.08.2022,05-Sep-2022,17600000.0,,,4,1,1,1,1
LD-0423,2024-03-30,PT Mitra Konstruksi 424,JAWA,Jakarta,boom lift,Google Ads,Andi Pratama,closed lost,2024-04-05,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0477,2024-06-19, PT Mitra Konstruksi 478 ,Jawa,Semarang   ,  Boom Lift,Website, Eko Kurniawan ,Closed Lost,2024-06-25,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0788,15-Jul-2025,PT Mitra Konstruksi 789,Jawa,Surabaya,Boom Lift,Email,Fajar Nugroho,Closed Won,2025-07-20,2025-07-28,2025-08-10,25200000.0,,,4,1,1,1,1
LD-0524,2024-08-06,PT Mitra Konstruksi 525,Jawa,Sidoarjo,Skylift,WhatsApp,Andi Pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0123,2023-02-22,PT Mitra Konstruksi 124,Sumatra,Medan,Scissor Lift,Google Ads,Budi Santoso,Closed Lost,2023-02-25,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0352,2024-01-31,PT Mitra Konstruksi 353,Jawa,Semarang,Boom Lift,WhatsApp,Vino Jayrasta,Closed Lost,2024-02-03,2024-02-05,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0057,2022-10-26,PT Mitra Konstruksi 058,Jawa,Jakarta,Boom Lift,Referral,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0322,2023-11-11,PT Mitra Konstruksi 323,Jawa,Bandung,Scissor Lift,Web,Andi Pratama,Closed Lost,2023-11-13,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0591,2024-11-12,PT Mitra Konstruksi 592,Jawa,Jakarta,Telehandler,WhatsApp,Fajar Nugroho,Closed Won,2024-11-16,22-Nov-2024,2024-11-08,20200000.0,,,4,1,1,1,1
LD-0537,2024-09-20, PT Mitra Konstruksi 538 ,Sumatra, Batam ,Scissor  Lift,whatsapp, Eko Kurniawan ,Closed Lost,2024-09-22,2024-09-29,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0988,2026-05-16,PT Mitra Konstruksi 989,JAWA,Semarang,skylift,whatsapp,Andi Pratama,closed won,2026-05-20,2026-05-22,2026-05-26,12000000.0,,,4,1,1,1,1
LD-0225,2023-06-24,PT Mitra Konstruksi 226,Jawa,Bandung,Boom Lift,Google Ads,Andi Pratama,Lead In,,,,,,,1,1,0,0,0
LD-0914,2026-02-04,PT Mitra Konstruksi 915,Bali,Denpasar,Scissor Lift,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0287,2023-10-13,PT Mitra Konstruksi 288   ,Bali,  Gianyar, Boom Lift ,WhatsApp,Fajar  Nugroho,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0284,2023-09-07,PT Mitra Konstruksi 285,Jawa,Jakarta,Crane,Website,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0969,2026-05-25,PT Mitra Konstruksi 970,Sumatra,Palembang,Boom Lift,Google Ads,Andi Pratama,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0717,2025-04-23,PT Mitra Konstruksi 718,Jawa,Semarang,Skylift,Website,Dewi Lestari,Closed Lost,2025-04-27,2025-05-04,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0780,2025-07-07,PT Mitra Konstruksi 781,Jawa,Gresik,Boom Lift,Google Ads,Vino Jayrasta,Closed Won,2025-07-09,16/07/2025,2025-07-26,12800000.0,,,4,1,1,1,1
LD-0953,26-Apr-2026,PT Mitra Konstruksi 954   ,Bali,Gianyar   ,Scissor Lift   ,Google Ads,Vino Jayrasta   ,Closed Lost,2026-04-30,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0584,2024-11-10,PT Mitra Konstruksi 585,Jawa,Semarang,Scissor Lift,WhatsApp,Andi Pratama,Closed Lost,2024-11-16,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0884,2025-12-17,PT  Mitra Konstruksi 885,Jawa,Semarang   ,  Boom Lift,Google Ads,Andi Pratama   ,Closed Won,2025-12-23,2025-12-27,2026-01-05,29400000.0,,,4,1,1,1,1
LD-0820,2025-09-09, PT Mitra Konstruksi 821 ,Jawa, Surabaya ,Telehandler,Referral,Budi  Santoso,Closed Lost,2025-09-15,2025-09-17,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0872,2025-12-18,  PT Mitra Konstruksi 873,Jawa,  Gresik,  Boom Lift,Website,  Budi Santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0102,2022-12-06,PT Mitra Konstruksi 103,bali,Denpasar,SCISSOR LIFT,whatsapp,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0937,2026-03-08,PT Mitra Konstruksi 938,Jawa,Surabaya,Scissor Lift,Website,Fajar Nugroho,Closed Lost,2026-03-11,14.03.2026,,,Negotiation,Budget not approved,5,1,1,1,0
LD-0162,2023-03-11,PT Mitra Konstruksi 163,Bali,Badung,Boom Lift,Email,Sari Rahmawati,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0064,2022-11-05,PT Mitra Konstruksi 065,Jawa,Gresikk,Scissor Lift,WhatsApp,Vino Jayrasta,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0196,2023-05-26,PT Mitra Konstruksi 197,jawa,Sidoarjo,Scissor Lift,website,Rina Wulandari,CLOSED LOST,2023-05-30,,,,Quotation Sent,Chose competitor,5,1,1,0,0
LD-0264,2023-08-03,PT Mitra Konstruksi 265,Jawa,Bandung,ScissorLift,Refferal,Fajar Nugroho,Closed Lost,2023-08-04,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0985,2026-05-07, PT Mitra Konstruksi 986 ,JAWA, Bandung ,  CRANE,whatsapp,  Andi Pratama,Closed Lost,2026-05-12,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0135,2023-02-11,PT Mitra Konstruksi 136,Jawa,Sidoarjo,Crane,WhatsApp,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0774,2025-07-05,PT Mitra Konstruksi 775,Bali,Denpasar,boom lift,Google Adwords,Sari R.,Closed Lost,2025-07-11,2025-07-17,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0830,2025-10-19,PT Mitra Konstruksi 831,Jawa,Semarang,Carmix,G-Ads,Dewi Lestari,Closed Lost,2025-10-20,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0548,2024-09-14,PT Mitra Konstruksi 549,Jawa,Sidoarjo,Boom Lift,WhatsApp,Sari Rahmawati,Closed Lost,2024-09-18,2024-09-26,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0893,2026-01-02,PT Mitra Konstruksi 894,Sumatra,Batam,Boom Lift,WhatsApp,Sari Rahmawati,Closed Lost,2026-01-06,,,,Quotation Sent,No response / went cold,5,1,1,0,0
LD-0527,2024-08-17,PT Mitra Konstruksi 528,Jawa,Surabaya,Skylift,Google Ads,Rina Wulandari,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0575,2024-10-26,PT Mitra Konstruksi 576,Bali,Badung,Boom Lift,WhatsApp,Rina Wulandari,Closed Lost,2024-10-28,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-0768,2025-06-18,PT Mitra Konstruksi 769,Jawa,Bandung,ScissorLift,Refferal,Rina W.,CLOSED LOST,24-Jun-2025,,,,Quotation Sent,Price too high,5,1,1,0,0
LD-0172,2023-04-07,PT Mitra Konstruksi 173,Jawa,Surabaya,Skylift,WhatsApp,Eko Kurniawan,Closed Lost,2023-04-13,22-Apr-2023,,,Negotiation,Project postponed/cancelled,5,1,1,1,0
LD-0701,2025-03-16,PT Mitra Konstruksi 702,Jawa,Gresik,ScissorLift,Web,Andi P,Closed Lost,2025-03-19,,,,Quotation Sent,Budget not approved,5,1,1,0,0
LD-0847,2025-11-21,PT Mitra Konstruksi 848,Bali,Badung,Crane,WhatsApp,Sari Rahmawati,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0561,2024-10-19,PT Mitra Konstruksi 562,Jawa,Gresik,Scissor Lift,Email,Vino Jayrasta,Lead In,,,,,,,1,1,0,0,0
LD-0079,04/11/2022,PT Mitra Konstruksi 080,jawa,Surabaya,Crane,Google Ads,Dewi Lestari,CLOSED LOST,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0686,2025-03-17,PT Mitra Konstruksi 687,Jawa,Jakarta,Boom Lift,WhatsApp,Eko Kurniawan,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0679,2025-02-14,PT Mitra Konstruksi 680,Jawa,Surabaya,Crane,referal,budi santoso,Closed Lost,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-1023,2026-07-11,PT Mitra Konstruksi 1024,Jawa,Gresik,Skylift,Referral,Andi Pratama,Closed Won,2026-07-15,2026-07-20,2026-08-02,,,,4,1,1,1,1
LD-0834,2025-10-03,PT  Mitra Konstruksi 835,Jawa,Jakarta   ,Boom  Lift,Google Ads,Rina  Wulandari,Closed Lost,2025-10-07,2025-10-11,,,Negotiation,Price too high,5,1,1,1,0
LD-0110,2023-01-17,PT Mitra Konstruksi 111,Jawa,Bandung,Boom Lift,Google Ads,Rina Wulandari,Closed Lost,2023-01-18,2023-01-24,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0509,2024-07-08,PT Mitra Konstruksi 510,Bali,Denpasar,Boom Lift,WhatsApp,Andi Pratama,Closed Lost,2024-07-13,2024-07-18,,,Negotiation,Chose competitor,5,1,1,1,0
LD-0030,2022-09-22,PT Mitra Konstruksi 031,Bali,Badung,Boom Lift,Google Ads,Eko Kurniawan,Closed Lost,2022-09-25,2022-09-28,,,Negotiation,Price too high,5,1,1,1,0
LD-0457,2024-05-30,PT Mitra Konstruksi 458,Jawa,Jakarta,Crane,Whats App,Dewi Lestari,Closed Lost,2024-06-04,,,,Quotation Sent,Project postponed/cancelled,5,1,1,0,0
LD-1006,2026-06-27,PT Mitra Konstruksi 1007,Jawa,,carmix,,Fajar Nugroho,CLOSED WON,2026-07-03,2026-07-11,2026-07-13,26400000.0,,,4,1,1,1,1
LD-0191,2023-05-19,PT Mitra Konstruksi 192,Jawa,Sidoarjo,ScissorLift,WA,Eko Kurniawan,Closed Won,20-May-2023,2023-05-22,2023-06-01,11200000.0,,,4,1,1,1,1
LD-0743,2025-05-01,PT Mitra Konstruksi 744,sumatra,Palembang,crane,Website,Budi Santoso,CLOSED LOST,,,,,Lead In,No response / went cold,5,1,0,0,0
LD-0624,2024-12-29,PT Mitra Konstruksi 625,Jawa,Jakarta,Scissor Lift,web site,Budi Santoso,Lead In,,,,,,,1,1,0,0,0
LD-1017,2026-07-24,PT Mitra Konstruksi 1018,BALI,Gianyar,boom lift,Referral,Dewi Lestari,Lead In,,,,,,,1,1,0,0,0
LD-0382,2024-02-28,PT Mitra Konstruksi 383,Jawa,Sidoarjo,Crane,Google Ads,Andi Pratama,Closed Lost,2024-03-04,2024-03-10,,,Negotiation,Chose competitor,5,1,1,1,0
